ParticipantID,Datetime,QuestionID,SubQuestion,Response
Empty,2024-09-04 18:37:51,Tools Used (Knapsack),0,0
Empty,2024-09-04 18:37:51,Tools Used (Knapsack),1,1
Empty,2024-09-04 18:37:51,Tools Used (Knapsack),2,1
Empty,2024-09-04 18:37:51,Tools Used (Knapsack),3,1
Empty,2024-09-04 18:37:51,Tools Used (Knapsack),666,
Empty,2024-09-04 19:13:43,Tools Used (Knapsack),0,1
Empty,2024-09-04 19:13:43,Tools Used (Knapsack),1,1
Empty,2024-09-04 19:13:43,Tools Used (Knapsack),2,1
Empty,2024-09-04 19:13:43,Tools Used (Knapsack),3,1
Empty,2024-09-04 19:13:43,Tools Used (Knapsack),666,
Empty,2024-09-04 19:13:52,Tool helpfulness (Knapsack),0,0
Empty,2024-09-04 19:13:52,Tool helpfulness (Knapsack),1,0
Empty,2024-09-04 19:13:52,Tool helpfulness (Knapsack),2,0
Empty,2024-09-04 19:13:52,Tool helpfulness (Knapsack),3,0
Empty,2024-09-04 19:13:52,Tool helpfulness (Knapsack),666,
Empty,2024-09-04 19:13:56,Tools Used (Cognitive Tasks),0,0
Empty,2024-09-04 19:13:56,Tools Used (Cognitive Tasks),1,0
Empty,2024-09-04 19:13:56,Tools Used (Cognitive Tasks),2,0
Empty,2024-09-04 19:13:56,Tools Used (Cognitive Tasks),3,0
Empty,2024-09-04 19:13:56,Tools Used (Cognitive Tasks),666,
Empty,2024-09-04 19:14:00,Tool helpfulness (Cognitive tasks),0,0
Empty,2024-09-04 19:14:00,Tool helpfulness (Cognitive tasks),1,0
Empty,2024-09-04 19:14:00,Tool helpfulness (Cognitive tasks),2,0
Empty,2024-09-04 19:14:00,Tool helpfulness (Cognitive tasks),3,0
Empty,2024-09-04 19:14:00,Tool helpfulness (Cognitive tasks),666,
Empty,2024-09-04 19:14:09,Motivation for Cognition,0,0
Empty,2024-09-04 19:14:09,Motivation for Cognition,1,1
Empty,2024-09-04 19:14:09,Motivation for Cognition,2,0
Empty,2024-09-04 19:14:09,Motivation for Cognition,3,0
Empty,2024-09-04 19:14:09,Motivation for Cognition,4,1
Empty,2024-09-04 19:14:09,Motivation for Cognition,5,0
Empty,2024-09-04 19:14:09,Motivation for Cognition,6,1
Empty,2024-09-04 19:14:09,Motivation for Cognition,7,1
Empty,2024-09-04 19:14:09,Motivation for Cognition,8,0
Empty,2024-09-04 19:14:09,Motivation for Cognition,9,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,0,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,1,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,2,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,3,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,4,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,5,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,6,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,7,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,8,1
Empty,2024-09-04 19:14:16,Fatigue Assessment Scale,9,1
Empty,2024-09-04 19:14:22,BFI Neuroticism,0,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,1,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,2,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,3,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,4,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,5,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,6,0
Empty,2024-09-04 19:14:22,BFI Neuroticism,7,0
Empty,2024-09-04 19:14:26,Self-rated Cognitive Abilities,0,1
Empty,2024-09-04 19:14:26,Self-rated Cognitive Abilities,1,1
Empty,2024-09-04 19:14:26,Self-rated Cognitive Abilities,2,1
Empty,2024-09-04 19:14:39,STAI-T,0,1
Empty,2024-09-04 19:14:39,STAI-T,1,1
Empty,2024-09-04 19:14:39,STAI-T,2,1
Empty,2024-09-04 19:14:39,STAI-T,3,1
Empty,2024-09-04 19:14:39,STAI-T,4,1
Empty,2024-09-04 19:14:39,STAI-T,5,1
Empty,2024-09-04 19:14:39,STAI-T,6,1
Empty,2024-09-04 19:14:39,STAI-T,7,1
Empty,2024-09-04 19:14:39,STAI-T,8,1
Empty,2024-09-04 19:14:39,STAI-T,9,1
Empty,2024-09-04 19:14:39,STAI-T,10,1
