participant_id, trialIdx,instanceID,question_type,timeTaken,selectedAnswer,correctAnswer,isCorrect
P001,1,8,MX,10.21428,6,4,False
P001,2,3,MX,1.967107,6,1,False
P001,3,1,MX,1.782839,6,4,False
P001,4,5,MX,1.467152,6,3,False
P001,5,7,MX,1.433031,6,2,False
P001,6,6,MX,1.733566,6,2,False
P001,7,2,MX,1.216766,6,1,False
P001,8,4,MX,1.683064,6,3,False
P001,8,4,MX,0.9831982,6,3,False
P001,1,2,MX,12.31927,6,1,False
P001,2,4,MX,1.249902,6,3,False
P001,3,3,MX,0.9731274,6,1,False
P001,4,1,MX,1.177111,6,4,False
P001,5,6,MX,1.054789,6,2,False
P001,6,5,MX,0.9117146,6,3,False
P001,7,7,MX,1.504391,6,2,False
P001,8,8,MX,1.579268,6,4,False
P001,1,1,MX,17.08399,6,4,False
P001,2,7,MX,1.59342,6,2,False
P001,1,10,MX,4.755374,6,1,False
P001,2,15,R3,1.266226,6,5,False
P001,3,4,VR,1.399958,7,5,False
P001,4,5,LN,1.783655,7,5,False
P001,5,14,R3,2.783367,6,1,False
P001,6,3,VR,1.799612,7,3,False
P001,7,16,R3,2.233384,6,6,True
P001,8,8,LN,1.150629,7,3,False
P001,9,13,R3,1.383381,6,2,False
P001,10,6,LN,1.699518,7,2,False
P001,11,9,MX,1.434114,6,4,False
P001,12,11,MX,1.816015,6,1,False
P001,13,1,R3,1.449936,6,6,True
P001,14,7,LN,2.349792,7,3,False
P001,15,2,VR,1.616899,7,3,False
P001,16,12,MX,2.483555,6,3,False
P001,1,3,VR,24.08482,6,3,False
P001,1,7,LN,31.66895,6,3,False
P001,2,1,R3,1.666023,6,6,True
P001,3,4,VR,2.165871,6,5,False
P001,4,16,R3,1.817345,6,6,True
P001,5,10,MX,2.866524,6,1,False
P001,6,12,MX,1.702358,6,3,False
P001,7,5,LN,1.714291,7,5,False
P001,1,5,LN,13.5444,6,5,False
P001,1,4,VR,215.4216,6,5,False
P001,2,5,LN,1.352173,6,5,False
P001,3,7,LN,1.376373,6,3,False
P001,4,3,VR,1.303955,6,3,False
P001,5,2,VR,1.472092,6,3,False
P001,6,15,R3,2.063873,6,5,False
P001,7,1,R3,1.396027,6,6,True
P001,8,14,R3,1.091934,6,1,False
P001,9,8,LN,2.107483,6,3,False
P001,10,9,MX,1.64473,6,4,False
P001,11,6,LN,1.415817,6,2,False
P001,12,12,MX,1.375809,6,3,False
P001,1,7,LN,271.7022,6,3,False
P001,2,16,R3,4.194305,6,6,True
P001,3,5,LN,2.309906,6,5,False
P001,4,6,LN,3.120056,7,2,False
P001,5,1,R3,1.047882,6,6,True
P001,6,2,VR,0.882019,7,3,False
P001,7,9,MX,2.149872,6,4,False
P001,8,10,MX,1.056824,6,1,False
P001,9,11,MX,1.054077,6,1,False
P001,10,4,VR,0.8570557,7,5,False
P001,11,3,VR,1.176514,7,3,False
P001,12,8,LN,0.9394836,7,3,False
P001,13,12,MX,1.092041,6,3,False
P001,14,15,R3,1.884613,2,5,False
P001,15,13,R3,2.822906,6,2,False
P001,16,14,R3,2.27887,6,1,False
P001,1,16,R3,6.16781,1,6,False
P001,2,11,MX,2.808557,6,1,False
P001,3,12,MX,1.391592,6,3,False
P001,1,16,R3,28.78795,6,6,True
P001,2,10,MX,2.073017,6,1,False
P001,3,6,LN,1.141195,7,2,False
P001,4,4,VR,1.760361,6,5,False
P001,1,15,R3,3.73547,6,5,False
P001,1,3,MX,438.7077,6,1,False
P001,2,8,MX,1.456116,6,4,False
P001,3,4,MX,1.272156,6,3,False
P001,4,5,MX,0.9754028,6,3,False
P001,5,1,MX,1.113617,6,4,False
P001,6,6,MX,1.502808,6,2,False
P001,7,2,MX,0.9836121,6,1,False
P001,8,7,MX,1.032837,6,2,False
P001,1,7,MX,4.424177,6,2,False
P001,1,6,MX,8.947997,6,2,False
P001,2,3,MX,1.255681,6,1,False
P001,1,8,MX,9.968262,6,4,False
P001,2,3,MX,2.671814,6,1,False
P001,3,4,MX,1.095947,6,3,False
P001,4,2,MX,1.07251,6,1,False
P001,5,7,MX,1.383301,6,2,False
P001,6,6,MX,1.583862,6,2,False
P001,7,5,MX,1.376343,6,3,False
P001,8,1,MX,1.288513,6,4,False
P001,1,3,MX,3.712657,4,1,False
P001,1,8,MX,5.955139,6,4,False
P001,2,3,MX,2.351929,6,1,False
P001,3,1,MX,1.519897,6,4,False
P001,4,2,MX,1.487915,6,1,False
P001,5,7,MX,3.696106,6,2,False
P001,6,4,MX,1.94458,6,3,False
P001,7,5,MX,2.111145,6,3,False
P001,8,6,MX,1.944336,6,2,False
P001,1,5,MX,9.749056,5,3,False
P001,1,1,MX,16.35975,6,4,False
P001,2,6,MX,4.079891,6,2,False
P001,3,2,MX,1.840372,6,1,False
