datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 7:33:44 PM,0,1,666,[6;;],666,666,666,666,3
4/09/2024 7:33:46 PM,1,1,0.1953063,4,0,6,9,False,1
4/09/2024 7:33:50 PM,1,2,666,[5;2;],666,666,666,666,3
4/09/2024 7:33:51 PM,2,2,0.7102202,4,0,5,9,False,1
4/09/2024 7:33:55 PM,2,3,666,[8;9;5],666,666,666,666,3
4/09/2024 7:33:56 PM,3,3,0.5615259,6,0,8,9,False,1
4/09/2024 7:34:04 PM,0,1,666,[9;;],666,666,666,666,3
4/09/2024 7:34:06 PM,1,1,0.6971878,4,0,9,9,True,0
4/09/2024 7:34:09 PM,1,2,666,[2;9;],666,666,666,666,3
4/09/2024 7:34:10 PM,2,2,0.5921726,7,0,2,9,False,0
4/09/2024 7:34:15 PM,2,3,666,[7;6;2],666,666,666,666,3
4/09/2024 7:34:16 PM,3,3,0.6872544,4,0,7,9,False,0
