PartcipantID:sads
instanceNumber;c;w;v;id;type;pOpt;cOpt;itemsOpt
1;77;34,47,36,18,20,2,16;27,10,22,16,28,26,31;246-0.45;2;112;72;1,0,0,0,1,1,1
2;79;34,20,32,22,9,28,31;9,7,35,39,18,48,18;47-0.45;2;112;79;0,1,0,1,1,1,0
3;63;22,29,18,11,27,5,33;5,5,9,10,8,46,10;234-0.44;2;73;61;0,0,1,1,1,1,0
4;74;34,47,36,18,20,2,16;27,10,22,16,28,26,31;246-0.43;2;112;72;1,0,0,0,1,1,1
5;60;5,40,22,22,31,3,27;48,19,43,28,41,30,35;90-0.4;2;156;57;1,0,1,0,0,1,1
6;83;3,22,40,39,33,28,24;40,36,32,6,49,44,2;68-0.44;2;133;64;1,0,0,0,1,1,0
7;79;34,20,32,22,9,28,31;9,7,35,39,18,48,18;47-0.45;2;112;79;0,1,0,1,1,1,0
8;75;21,23,36,45,12,4,30;12,5,27,2,20,35,27;215-0.44;2;94;73;1,0,1,0,1,1,0
9;79;34,20,32,22,9,28,31;9,7,35,39,18,48,18;47-0.45;2;112;79;0,1,0,1,1,1,0
10;76;21,23,36,45,12,4,30;12,5,27,2,20,35,27;215-0.45;2;94;73;1,0,1,0,1,1,0
11;64;5,40,22,22,31,3,27;48,19,43,28,41,30,35;90-0.43;2;162;61;1,0,1,0,1,1,0
12;74;2,14,13,34,43,43,16;35,9,22,19,23,24,36;137-0.45;2;117;74;1,0,1,0,0,1,1
13;81;41,43,45,19,8,18,24;37,21,37,32,33,32,30;97-0.41;4;127;69;0,0,0,1,1,1,1
14;56;35,23,12,3,42,7,12;42,41,38,39,3,8,24;186-0.42;4;142;50;0,1,1,1,0,0,1
15;76;8,46,4,38,25,16,49;6,13,43,45,20,26,12;106-0.41;4;120;66;1,0,1,1,0,1,0
16;68;40,26,6,6,42,23,23;2,30,14,23,22,25,45;66-0.41;4;112;61;0,1,1,1,0,0,1
17;55;6,4,37,21,14,16,30;24,10,20,9,45,24,21;170-0.43;4;103;40;1,1,0,0,1,1,0
18;67;7,6,45,9,5,42,47;26,21,33,41,42,22,40;61-0.42;4;144;67;0,1,0,1,1,0,1
19;81;40,7,42,34,23,22,26;10,28,30,46,38,37,38;119-0.42;4;141;78;0,1,0,0,1,1,1
20;84;14,21,2,37,49,39,43;34,1,24,31,17,40,19;228-0.41;4;99;76;1,1,1,0,0,1,0
21;77;10,45,44,12,10,32,28;23,41,48,36,5,24,11;209-0.43;4;112;76;1,0,1,1,1,0,0
22;80;48,16,25,20,33,38,11;40,31,18,36,3,33,39;142-0.42;4;124;72;0,1,1,1,0,0,1
23;81;40,7,42,34,23,22,26;10,28,30,46,38,37,38;119-0.42;4;141;78;0,1,0,0,1,1,1
24;79;17,24,48,29,8,19,41;30,20,7,47,40,39,44;123-0.43;4;156;73;1,0,0,1,1,1,0
25;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
26;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
27;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
28;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
29;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
30;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
31;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
32;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
33;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
34;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
35;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
36;101;35,47,43,9,7,45,44;38,41,25,21,32,14,20;185-0.44;6;132;98;1,1,0,1,1,0,0
