i_time_limit,5
i_rule_display_time,3
i_block_1,32
i_block_2,32
i_block_3,128
i_no_practice_instances,12
i_practice_block_1,4
i_practice_block_2,4
i_practice_block_3,8
i_rest_time,30
i_practice_list,"[""I8"", ""K7"", ""R5"", ""A4"", ""E7"", ""U5"", ""K6"", ""I8"",  ""E3"", ""A9"", ""U2"", ""R2"", ""G7"", ""I4"", ""U6"", ""G9"", ""A4"", ""M8"", ""K5"", ""R4"", ""I9"", ""K6"", ""A3"", ""I4"", ""R8"", ""M7"", ""E3"", ""A6"", ""E3"", ""M8"", ""U2"", ""G2"", ""G9"", ""M5""]"
i_switch_congruence_0_random_0,"['A3', 'I6', 'K2', 'G8', 'U9', 'K5', 'A6', 'U4', 'K4', 'E5', 'U8', 'A8', 'R2', 'I7', 'U3', 'M4', 'G9', 'R9', 'M3', 'G5', 'K9', 'M6', 'E6', 'I7', 'R2', 'I3', 'E8', 'M7', 'R7', 'G2', 'E5', 'A4', 'M4', 'R8', 'K4', 'M2', 'A6', 'A3', 'I7', 'G3', 'G3', 'E6', 'I9', 'M2', 'K5', 'A4', 'U8', 'G7', 'G5', 'E2', 'U9', 'R7', 'E9', 'U8', 'E6', 'M3', 'R6', 'I5', 'I9', 'R7', 'A8', 'U5', 'K2', 'K4', 'I8', 'G8', 'A4', 'E9', 'A2', 'R8', 'U6', 'I3', 'A2', 'K4', 'R6', 'R3', 'K9', 'M8', 'R3', 'U7', 'I3', 'U7', 'U2', 'I6', 'K9', 'E9', 'A3', 'E6', 'U9', 'M3', 'G5', 'R8', 'M2', 'M4', 'G9', 'G9', 'A4', 'U3', 'K8', 'E6', 'M6', 'I2', 'E4', 'I9', 'U2', 'R5', 'A9', 'R6', 'M8', 'E8', 'A6', 'I3', 'A4', 'G7', 'G8', 'U7', 'M4', 'K9', 'E7', 'G7', 'M8', 'U6', 'U2', 'I3', 'E8', 'E3', 'A8', 'M4', 'U7', 'G6', 'R7', 'U6', 'R5', 'M3', 'A5', 'I5', 'A3', 'K8', 'K5', 'E2', 'I9', 'U8', 'G4', 'A4', 'E2', 'M4', 'M2', 'R5', 'K6', 'I4', 'G8', 'M9', 'R7', 'E2', 'G6', 'U9', 'R7', 'E7', 'E5', 'I2', 'M7', 'U2', 'I9', 'R4', 'I5', 'E4', 'K6', 'A2', 'K8', 'U4', 'G9', 'M2', 'R2', 'R5', 'I3', 'M5', 'A6', 'K2', 'M7', 'R6', 'K2', 'A5', 'G3', 'I8', 'M9', 'A3', 'E4', 'A7', 'A9', 'G9', 'E3', 'I2']"
i_switch_congruence_0_random_1,"['U7', 'I3', 'E8', 'R9', 'A2', 'A6', 'I9', 'K4', 'E7', 'R8', 'R9', 'M5', 'U3', 'K8', 'A6', 'K5', 'G5', 'A8', 'M3', 'G5', 'M4', 'I4', 'R2', 'I7', 'M4', 'E2', 'U3', 'G2', 'G6', 'U6', 'E7', 'K9', 'M9', 'A6', 'U6', 'R9', 'U5', 'G2', 'E5', 'I7', 'R4', 'U4', 'K7', 'M8', 'E9', 'I3', 'M4', 'A3', 'G5', 'A2', 'K9', 'U8', 'K4', 'M3', 'I7', 'K3', 'G7', 'G6', 'R2', 'I2', 'E6', 'E8', 'R8', 'A5', 'I2', 'R8', 'M7', 'K2', 'A7', 'G5', 'A9', 'I8', 'K4', 'I7', 'K9', 'E8', 'M7', 'E5', 'I6', 'A7', 'G9', 'E4', 'U7', 'G2', 'A3', 'R2', 'K9', 'I8', 'U9', 'U2', 'G6', 'I2', 'U4', 'A3', 'M4', 'E2', 'G5', 'M6', 'G9', 'A9', 'M2', 'E2', 'K4', 'R3', 'G6', 'E8', 'M3', 'K2', 'M8', 'G7', 'M3', 'A3', 'K7', 'I9', 'M4', 'R5', 'A3', 'G3', 'I2', 'A7', 'M7', 'G5', 'A5', 'E7', 'U8', 'M4', 'A8', 'A5', 'G6', 'G4', 'K3', 'G3', 'I9', 'E4', 'U2', 'R4', 'E2', 'I5', 'A6', 'M8', 'R2', 'U4', 'E9', 'U2', 'A4', 'K6', 'K6', 'M9', 'I4', 'M4', 'E5', 'E8', 'R6', 'A4', 'E8', 'U3', 'A8', 'G5', 'M6', 'U9', 'K8', 'R4', 'K7', 'K5', 'A6', 'M9', 'M4', 'E9', 'I6', 'U6', 'R2', 'R8', 'G2', 'U4', 'K4', 'G3', 'E6', 'R2', 'U9', 'E6', 'G4', 'U7', 'G5', 'I6', 'K3', 'U3', 'I8', 'U7', 'A3', 'R7', 'U9', 'I2']"
i_switch_congruence_0_random_2,"['G9', 'U4', 'K5', 'M7', 'I2', 'R7', 'E6', 'K2', 'A4', 'M3', 'E6', 'K9', 'R4', 'A3', 'U7', 'E5', 'K2', 'R6', 'I3', 'G6', 'A5', 'G8', 'R8', 'I2', 'E8', 'U3', 'G5', 'I9', 'M9', 'U7', 'A8', 'M4', 'A5', 'A2', 'U4', 'G3', 'K8', 'E7', 'K6', 'I8', 'E6', 'G2', 'K9', 'R7', 'M7', 'I8', 'U3', 'R5', 'M9', 'U4', 'R2', 'E7', 'I4', 'U5', 'M6', 'A3', 'G2', 'A3', 'I5', 'E8', 'K9', 'M4', 'G6', 'R9', 'E3', 'K5', 'G2', 'K9', 'R2', 'G8', 'M9', 'K5', 'I6', 'G2', 'K4', 'R5', 'R2', 'I7', 'A8', 'M7', 'M6', 'U4', 'A4', 'E3', 'I5', 'K3', 'A6', 'U5', 'M5', 'K4', 'G3', 'A9', 'M9', 'K3', 'I5', 'I3', 'G2', 'A6', 'M4', 'G3', 'M4', 'A6', 'M4', 'R5', 'G4', 'R5', 'I7', 'M5', 'U9', 'R7', 'I6', 'I5', 'U4', 'A7', 'E6', 'R6', 'U8', 'E4', 'K2', 'K8', 'I6', 'R2', 'R2', 'K9', 'E8', 'R3', 'U9', 'K8', 'G5', 'U9', 'R6', 'K3', 'K3', 'M2', 'G9', 'A3', 'U8', 'M3', 'I9', 'G8', 'R4', 'I3', 'M5', 'U2', 'E3', 'A7', 'E4', 'I6', 'A9', 'K7', 'M5', 'G2', 'K7', 'I7', 'M3', 'G8', 'E2', 'M2', 'A7', 'E6', 'K7', 'I8', 'U9', 'R8', 'I7', 'G9', 'K9', 'R6', 'A4', 'U7', 'K6', 'U4', 'R4', 'A3', 'M3', 'U8', 'K4', 'A8', 'E7', 'A4', 'U6', 'E5', 'I8', 'G2', 'R9', 'E9', 'A4', 'I5', 'U9', 'M5', 'E7', 'A2']"
i_switch_congruence_0_random_3,"['R9', 'E2', 'I9', 'K3', 'G3', 'I7', 'E8', 'U5', 'K8', 'M6', 'A8', 'R6', 'G2', 'A5', 'G6', 'I2', 'M4', 'R9', 'U8', 'A3', 'G3', 'U5', 'E4', 'M6', 'A7', 'K4', 'M7', 'K5', 'U7', 'E4', 'I2', 'R9', 'M4', 'A2', 'A6', 'E7', 'U9', 'U4', 'M3', 'E2', 'A6', 'I9', 'R6', 'M5', 'K8', 'G7', 'K8', 'G4', 'I5', 'K3', 'U3', 'A2', 'K2', 'R7', 'I4', 'M8', 'E9', 'R5', 'I8', 'G5', 'R7', 'U9', 'E3', 'G6', 'M3', 'I3', 'K8', 'R7', 'I5', 'U6', 'I8', 'K4', 'A9', 'R3', 'U9', 'A4', 'A3', 'G8', 'I2', 'K7', 'I4', 'G6', 'K5', 'K2', 'M9', 'U4', 'I5', 'K4', 'G8', 'K9', 'R5', 'E9', 'G2', 'U8', 'A9', 'E4', 'A2', 'A7', 'R4', 'E6', 'M5', 'A6', 'M2', 'E9', 'G3', 'I5', 'M6', 'G7', 'M6', 'K3', 'E9', 'M3', 'E2', 'I5', 'I6', 'K8', 'E3', 'G8', 'A6', 'M5', 'I4', 'U6', 'K2', 'R2', 'I8', 'M9', 'K6', 'U7', 'E8', 'M7', 'U5', 'R4', 'G6', 'A8', 'R5', 'K2', 'R2', 'E3', 'G3', 'U4', 'A8', 'K6', 'I2', 'E5', 'R4', 'G5', 'K9', 'U3', 'G4', 'K8', 'R3', 'R7', 'I6', 'A9', 'G8', 'A8', 'K9', 'E7', 'E2', 'A7', 'R4', 'M3', 'E3', 'R7', 'U9', 'G5', 'R5', 'R2', 'M4', 'U2', 'M6', 'G3', 'A7', 'R6', 'E2', 'K3', 'A8', 'G8', 'M3', 'K4', 'R7', 'U5', 'E5', 'A8', 'K7', 'U9', 'U6', 'I7', 'U7', 'M5', 'E7', 'I4']"
i_switch_congruence_0_random_4,"['G5', 'A9', 'E9', 'R8', 'I3', 'A8', 'R9', 'U3', 'U2', 'I4', 'G4', 'E6', 'A5', 'R6', 'K2', 'G4', 'E2', 'R7', 'M8', 'M2', 'K5', 'U4', 'K5', 'M7', 'M7', 'K3', 'E7', 'I6', 'U9', 'G6', 'I8', 'A3', 'E4', 'G3', 'U6', 'E2', 'K6', 'G7', 'G8', 'A4', 'K6', 'E7', 'A4', 'G8', 'I3', 'I5', 'A9', 'M3', 'A8', 'I2', 'E9', 'M6', 'K5', 'R9', 'U8', 'R5', 'M7', 'R2', 'R3', 'I7', 'U9', 'K2', 'U5', 'M4', 'A2', 'M9', 'E3', 'G4', 'K9', 'A9', 'K5', 'M6', 'U4', 'E3', 'U2', 'K8', 'I4', 'R8', 'G7', 'K4', 'M7', 'A5', 'K6', 'K9', 'A4', 'I9', 'R8', 'A8', 'G7', 'A3', 'E9', 'E4', 'I8', 'E7', 'I4', 'R2', 'U9', 'G3', 'I3', 'U6', 'R8', 'I4', 'I9', 'U8', 'M6', 'I5', 'E8', 'G9', 'G4', 'A2', 'I9', 'A6', 'U6', 'M3', 'M2', 'E5', 'I7', 'R8', 'K5', 'A4', 'K2', 'I9', 'U8', 'R3', 'U7', 'R3', 'A6', 'U7', 'M4', 'R5', 'M5', 'I9', 'A5', 'E5', 'U6', 'I2', 'U7', 'G3', 'R9', 'K4', 'E6', 'G5', 'M8', 'A3', 'M5', 'R9', 'E5', 'E5', 'M7', 'K7', 'U9', 'U5', 'M7', 'E3', 'R2', 'K3', 'M2', 'A6', 'M7', 'K2', 'M4', 'R5', 'E7', 'G9', 'R5', 'M2', 'G3', 'U3', 'R2', 'U6', 'I2', 'U9', 'U3', 'I4', 'K4', 'I8', 'A6', 'K2', 'M8', 'R9', 'E5', 'G8', 'E2', 'M3', 'K3', 'A9', 'E2', 'A7', 'A5', 'G5', 'U7', 'U4']"
